week_ending,btc_usd,power_law_trend,power_law_support,btc_vs_power_law_pct,gold_usd_oz,btc_gold_ratio,btc_gold_52w_zscore_pct
2022-02-06,42358.22517329,25576.88258765,9409.20927325,50.44737016,1836.59997559,23.06339199,-71.75233384
2022-02-13,42195.59474518,25789.01150007,9487.24713901,49.23673353,1871.50000000,22.54640382,-79.16705471
2022-02-20,38551.62249679,26002.58606328,9565.81682997,39.38021902,1910.40002441,20.17986914,-118.49647751
2022-02-27,37664.77928288,26217.61399776,9644.92118635,36.22939464,1922.30004883,19.59360054,-124.97512453
2022-03-06,38399.34262683,26434.10305386,9724.56305932,37.33853815,1988.19995117,19.31362216,-124.93033050
2022-03-13,37808.31740041,26652.06101188,9804.74531112,34.96626316,1909.19995117,19.80322563,-112.13893294
2022-03-20,41294.72351292,26871.49568215,9885.47081499,42.96686471,1937.30004883,21.31560547,-81.25557040
2022-03-27,46777.20562653,27092.41490509,9966.74245527,54.61422291,1933.50000000,24.19302075,-25.62013080
2022-04-03,46440.54385389,27314.82655129,10048.56312738,53.07432158,1923.09997559,24.14879333,-23.60428745
2022-04-10,42264.46339100,27538.73852158,10130.93573788,42.83529371,1984.69995117,21.29514004,-75.18011213
2022-04-17,39704.78397984,27764.15874710,10213.86320448,35.77257485,1955.59997559,20.30312154,-91.07315397
2022-04-24,39511.64569287,27991.09518939,10297.34845605,34.47090255,1888.69995117,20.92002262,-76.12988138
2022-05-01,38459.22697913,28219.55584043,10381.39443268,30.95834335,1868.80004883,20.57963719,-79.59122923
2022-05-08,34058.90668615,28449.54872274,10466.00408570,17.99592767,1853.69995117,18.37347337,-119.26665431
2022-05-15,31182.62124605,28681.08188943,10551.18037768,8.36231905,1815.90002441,17.17199231,-137.93967699
2022-05-22,30331.87514173,28914.16342430,10636.92628247,4.78675855,1846.30004883,16.42846468,-150.47301468
2022-05-29,29430.06898001,29148.80144189,10723.24478526,0.96031111,1848.69995117,15.91933237,-157.23824342
2022-06-05,29915.40930099,29385.00408756,10810.13888255,1.78892297,1856.50000000,16.11387520,-150.56158714
2022-06-12,26830.28394565,29622.77953755,10897.61158222,-9.90123968,1819.59997559,14.74515515,-169.92002485
2022-06-19,20492.29516832,29862.13599909,10985.66590353,-37.65423533,1838.40002441,11.14680967,-222.98670644
2022-06-26,21066.62094302,30103.08171043,11074.30487717,-35.69377069,1817.50000000,11.59098814,-204.67242131
2022-07-03,19276.51466394,30345.62494094,11163.53154527,-45.37648555,1736.50000000,11.10078587,-202.52169200
2022-07-10,20831.27339158,30589.77399117,11253.34896143,-38.42103838,1735.50000000,12.00303854,-180.56636400
2022-07-17,20827.88860859,30835.53719293,11343.76019076,-39.23749427,1700.19995117,12.25025833,-171.27439077
2022-07-24,22653.35702601,31082.92290935,11434.76830987,-31.63505118,1719.09997559,13.17745178,-151.80992586
2022-07-31,23356.17222151,31331.93953499,11526.37640695,-29.37767255,1776.40002441,13.14803642,-146.49568990
2022-08-07,23153.65847136,31582.59549584,11618.58758176,-31.04533920,1813.69995117,12.76598064,-145.70337217
2022-08-14,24314.20213150,31834.89924950,11711.40494566,-26.95025192,1776.69995117,13.68503563,-126.90659492
2022-08-21,21553.99617171,32088.85928514,11804.83162165,-39.79476706,1761.50000000,12.23616019,-141.59996526
2022-08-28,19673.54121888,32344.48412366,11898.87074439,-49.71688525,1726.19995117,11.39702339,-146.83138775
2022-09-04,19961.91189071,32601.78231772,11993.52546024,-49.05409068,1727.80004883,11.55336921,-138.62111780
2022-09-11,21732.77056867,32860.76245182,12088.79892724,-41.34580295,1709.09997559,12.71591532,-117.69507320
2022-09-18,19427.10026265,33121.43314238,12184.69431521,-53.35115877,1675.69995117,11.59342414,-127.80667141
2022-09-25,18793.15615313,33383.80303781,12281.21480573,-57.45780742,1670.00000000,11.25338692,-127.15930540
2022-10-02,19015.29280508,33647.88081860,12378.36359215,-57.07065370,1720.80004883,11.05026282,-124.73004943
2022-10-09,19428.36713238,33913.67519736,12476.14387967,-55.70841098,1677.50000000,11.58173898,-113.37932798
2022-10-16,19261.74978784,34181.19491891,12574.55888534,-57.35543836,1634.19995117,11.78665424,-107.61448379
2022-10-23,19565.41232437,34450.44876039,12673.61183808,-56.57586938,1669.19995117,11.72143116,-105.60827074
2022-10-30,20616.70337668,34721.44553127,12773.30597871,-52.12559321,1650.00000000,12.49497174,-92.37724430
2022-11-06,20946.80303594,34994.19407345,12873.64455999,-51.31961291,1713.69995117,12.22314503,-94.32259848
2022-11-13,16320.49833752,35268.70326137,12974.63084664,-77.05740931,1775.80004883,9.19050450,-140.43485424
2022-11-20,16246.84469930,35544.98200203,13076.26811536,-78.29002755,1745.59997559,9.30731263,-137.24123774
2022-11-27,16436.07076885,35823.03923510,13178.55965487,-77.91128837,1746.00000000,9.41355714,-134.29782651
2022-12-04,17121.71498247,36102.88393297,13281.50876594,-74.60252096,1798.00000000,9.52264460,-128.77237018
2022-12-11,17094.36065926,36384.52510085,13385.11876139,-75.53949265,1818.69995117,9.39921984,-128.36004918
2022-12-18,16776.11592548,36667.97177682,13489.39296615,-78.19474666,1825.40002441,9.19037784,-128.52603796
2022-12-25,16824.83897370,36953.23303193,13594.33471726,-78.67968362,1815.80004883,9.26579938,-125.24429040
2023-01-01,16606.75204325,37240.31797024,13699.94736394,-80.75826285,1859.00000000,8.93316409,-128.93647855
2023-01-08,17059.23994448,37529.23572894,13806.23426755,-78.84282595,1878.90002441,9.07937608,-121.74408241
2023-01-15,20876.00855611,37819.99547838,13913.19880169,-59.42373600,1907.00000000,10.94704172,-79.84230852
2023-01-22,22716.27719667,38112.60642218,14020.84435218,-51.74633800,1942.59997559,11.69374935,-61.04992483
2023-01-29,23774.99636791,38407.07779728,14129.17431709,-47.96073046,1942.80004883,12.23749010,-46.50396972
2023-02-05,22957.22519053,38703.41887403,14238.19210680,-52.22952291,1890.69995117,12.14218320,-45.55589740
2023-02-12,21772.13732525,39001.63895625,14347.90114400,-58.29726218,1845.30004883,11.79869764,-50.36808068
2023-02-19,24366.99076067,39301.74738133,14458.30486370,-47.80396018,1841.50000000,13.23214269,-13.83759175
2023-02-26,23542.09642811,39603.75352028,14569.40671333,-52.01337436,1845.40002441,12.75717791,-22.50157312
2023-03-05,22419.81713910,39907.66677782,14681.21015268,-57.66231938,1818.59997559,12.32806414,-30.25408853
2023-03-12,22065.98003594,40213.49659245,14793.71865398,-60.01656178,1931.30004883,11.42545409,-49.80486852
2023-03-19,28185.20433197,40521.25243653,14906.93570192,-36.30294168,1949.59997559,14.45691664,32.00940744
2023-03-26,28049.39169112,40830.94381635,15020.86479366,-37.54732757,1966.90002441,14.26071043,34.83934462
2023-04-02,28161.99803624,41142.58027220,15135.50943889,-37.90701198,2035.59997559,13.83474080,31.59569200
2023-04-09,28357.80727031,41456.17137845,15250.87315981,-37.97343768,2024.90002441,14.00454686,44.99759654
2023-04-16,30312.93085330,41771.72674365,15366.95949122,-32.06453347,2007.30004883,15.10134515,92.85681878
2023-04-23,27604.68557423,42089.25601057,15483.77198049,-42.18069810,1996.00000000,13.83000279,55.77846012
2023-04-30,29362.08679749,42408.76885629,15601.31418762,-36.76508761,2037.00000000,14.41437742,95.31507600
2023-05-07,28761.73843425,42730.27499227,15719.58968526,-39.58617079,2037.09997559,14.11896263,92.00587229
2023-05-14,26918.26159790,43053.78416444,15838.60205873,-46.96452025,1984.90002441,13.56152011,71.54782159
2023-05-21,26777.09778317,43379.30615328,15958.35490607,-48.24355488,1964.59997559,13.62979646,81.63041376
2023-05-28,28097.52112595,43706.85077386,16078.85183805,-44.18235018,1963.90002441,14.30700177,124.55819147
2023-06-04,27158.25456955,44036.42787594,16200.09647819,-48.33361618,1958.40002441,13.86757263,106.31955122
2023-06-11,25906.82815167,44368.04734408,16322.09246281,-53.80129868,1968.90002441,13.15802114,67.18456564
2023-06-18,26353.96268293,44701.71909764,16444.84344104,-52.83933093,1944.90002441,13.55029171,87.86547139
2023-06-25,30467.44037054,45037.45309092,16568.35307487,-39.08358500,1922.19995117,15.85029713,212.52946251
2023-07-02,30594.21647370,45375.25931322,16692.62503916,-39.41560205,1927.09997559,15.87578063,201.02363106
2023-07-09,30163.22105640,45715.14778890,16817.66302165,-41.58063681,1961.69995117,15.37606250,164.95405923
2023-07-16,30249.77296581,46057.12857747,16943.47072304,-42.03938723,1980.80004883,15.27149244,152.51678569
2023-07-23,30066.57244828,46401.21177367,17070.05185698,-43.39115700,1970.09997559,15.26144501,146.89787017
2023-07-30,29262.83673378,46747.40750754,17197.41015009,-46.84404597,1975.00000000,14.81662619,120.49205873
2023-08-06,29048.04332759,47095.72594449,17325.54934202,-48.32311269,1950.59997559,14.89185055,120.52926107
2023-08-13,29286.11761105,47446.17728539,17454.47318547,-48.24823567,1928.30004883,15.18753144,132.18023507
2023-08-20,26176.47216423,47798.77176665,17584.18544620,-60.21389456,1948.09997559,13.43692444,43.54374465
2023-08-27,26086.36125950,48153.51966027,17714.68990306,-61.29816128,1973.00000000,13.22167322,31.13789292
2023-09-03,25962.54756897,48510.43127395,17845.99034805,-62.51238312,1944.19995117,13.35384643,36.06295571
2023-09-10,25831.46478025,48869.51695115,17978.09058631,-63.75605129,1932.50000000,13.36686405,36.04255982
2023-09-17,26502.43211894,49230.78707116,18110.99443617,-61.92826744,1967.09997559,13.47284452,39.57951390
2023-09-24,26286.64104880,49594.25204921,18244.70572918,-63.48140757,1890.90002441,13.90165567,58.58415900
2023-10-01,27950.14535944,49959.92233649,18379.22831012,-58.07987305,1834.80004883,15.23334675,120.40101452
2023-10-08,27936.32611572,50327.80842029,18514.56603704,-58.86299224,1887.30004883,14.80227065,95.36700359
2023-10-15,27130.30670923,50697.92082403,18650.72278130,-62.52334686,1968.30004883,13.78362345,43.10194849
2023-10-22,29984.15931970,51070.27010738,18787.70242758,-53.25333101,1994.90002441,15.03040701,101.03460778
2023-10-29,34574.33772063,51444.86686628,18925.50887390,-39.73989654,1987.50000000,17.39589319,204.03846323
2023-11-05,35105.04202659,51821.72173307,19064.14603170,-38.94646322,1957.80004883,17.93086176,214.12632722
